epoch,loss,out_caps_acc,out_caps_loss,out_recon_loss,val_loss,val_out_caps_acc,val_out_caps_loss,val_out_recon_loss
0,0.529355655776,0.286111111111,0.529242221514,0.226871419284,0.251155138016,0.766666650772,0.251046597958,0.217060595751
1,0.25251888699,0.719791666667,0.252436500457,0.164771203862,0.126801893115,0.899999976158,0.126764521003,0.0747450664639
2,0.143892577291,0.882986111111,0.143854816424,0.0755214255717,0.0830017849803,0.916666686535,0.0829681381583,0.0672874599695
3,0.103595456812,0.926041666667,0.103558566835,0.0737787526515,0.0721192806959,0.933333337307,0.0720857009292,0.0671597495675
4,0.0814415483011,0.946180555556,0.0814052224159,0.0726524871257,0.0488505363464,1.0,0.0488173738122,0.0663217976689
5,0.0746519529985,0.946180555556,0.0746153795885,0.0731471980611,0.0476433113217,1.0,0.047610219568,0.0661828741431
6,0.0618010345432,0.956944444444,0.0617650813527,0.0719069254067,0.0350145921111,1.0,0.0349815450609,0.0660947039723
7,0.0601775259607,0.953472222222,0.0601415612631,0.0719300245245,0.0353505164385,1.0,0.0353178195655,0.0653941482306
8,0.0592981665499,0.957986111111,0.0592623179985,0.0716978636053,0.0328313559294,0.983333349228,0.0327987186611,0.0652746632695
9,0.0535474792537,0.965277777778,0.0535114233692,0.0721120110816,0.0266511719674,1.0,0.0266186073422,0.0651286169887
10,0.046241979238,0.970774647719,0.0462060601569,0.0718383808371,0.0268061459064,1.0,0.0267738327384,0.0646246820688
11,0.047475243484,0.967708333333,0.0474395890203,0.0713091361854,0.0233728699386,1.0,0.0233407393098,0.0642607733607
12,0.0444190119704,0.965972222222,0.044383437559,0.0711492415931,0.0225623864681,1.0,0.0225302577019,0.0642580538988
13,0.0437475571202,0.970486111111,0.0437121110244,0.0708919309907,0.0214728116989,1.0,0.0214409269392,0.063769929111
14,0.0404668534795,0.974305555556,0.0404311576651,0.0713920144571,0.02324526757,0.983333349228,0.02321341075,0.0637123137712
15,0.0398726783279,0.973611111111,0.0398374757833,0.0704047683212,0.0216107554734,1.0,0.0215789414942,0.0636273473501
16,0.0390053898924,0.972569444444,0.0389701718258,0.0704360718528,0.0192813836038,1.0,0.0192497018725,0.063361980021
17,0.0369873721153,0.974305555556,0.0369522448629,0.0702546565069,0.0198027156293,1.0,0.0197710692883,0.0632917732
18,0.036038817962,0.974305555556,0.0360040583544,0.0695187502437,0.0167057663202,1.0,0.0166742410511,0.0630512461066
19,0.0357907599873,0.976736111111,0.035755530662,0.070458807879,0.016802707687,1.0,0.016771197319,0.0630200132728
